Question,Yes (k),No (k),Some details (k),NA (k)
,Pre-registration,,,
1. Was the study preregistered prior to the analysis?,11,41,,
2. Does the paper provide an URL where the preregistration is posted?,9,43,,
3. When was the preregistration posted?*,10,41,0,
4. Does the preregistration describe inclusion and exclusion criteria for participation?,6,43,3,
5. Does the preregistration describe all procedures for assigning participants to conditions?,4,44,4,
6. Does the preregistration describe all procedures for randomizing stimulus materials?,4,44,4,
"7. Does the preregistration describe procedures to ensure that participants, experimenters, and data-analysts were kept naïve (blinded) to potentially biasing information?",4,48,0,
"8. Does the preregistration describe a rationale for the sample size used (e.g., an a priori power analysis)?",5,46,1,
9. Does the preregistration describe all measures completed by the participants (including those not used in the study)?,5,43,4,
"10. Does the preregistration describe the data preprocessing scripts (cleaning, transformations, normalization, smoothing)?",0,51,0,
"11. Does the preregistration describe a plan for handling missing data (e.g., unit non-response, attrition between rounds, dropout from survey)?",2,46,4,
"12. Does the preregistration describe the intended statisticalanalysis for each research question (including information about the sidedness of the tests, inference criteria, corrections for multiple testing, model selection criteria, prior distributions and other plans)?",3,45,4,
,Sampling,,,
"13. Does the paper provide a rationale for the sample size used, preferably an a priori power analysis?",23,28,1,
14. Does the paper report how participants were recruited for the experiment?,46,5,1,
"15. Does the paper report eligibility criteria for participation in the experiment? E.g., with respect to nationality, gender, age, experience, prior knowledge on the subject matter?",11,28,13,
,Procedure,,,
16. Does the paper report where and when the experiment was conducted?,0,2,50,
"17. For a lab experiment: does the paper report how participants were welcomed, by whom, how and where they were seated, how they completed the experiment, and how they were debriefed? Were experimenters blind to the hypotheses?",3,1,5,43
"18. Were participants fully informed? If not, was deception necessary? Were participants asked which hypotheses they suspected were being tested?",26,22,4,
"19. Does the paper report how participants were paid, and which conditions determined the size of the payment?",31,21,,
"20. Does the paper provide details about IRB approval (e.g., location, registration number)?",26,23,3,
,Materials,,,
21. Does the paper describe or provide a link to all instructions and stimuli for participants?,39,13,,
22. Does the paper describe or provide a link to all measures completed by the participants (including those not used in the study)?,50,2,,
23. Does the paper provide a link to the processed data?,32,19,,
24. Does the paper provide a link to the code/script used to preprocess the data?,15,37,,
25. Does the paper provide a link to the code/script used to obtain the results reported?,10,42,,
26. Does the paper mention which software (including version) was used?,1,51,,
,Randomisation,,,
27. Does the paper report how participants were randomized into conditions and how stimulus materials were randomized?,41,1,10,
28. Are numbers of observations per condition approximately equal to the design for randomization?,49,3,,
"29. Does the paper report checks on deviations from randomization (e.g., comparison of covariates per condition)?",6,46,,
,Manipulation,,,
30. Does the manipulation fit the theoretical mechanism?,52,0,0,
31. Are the manipulations clean?,52,0,,
32. Does the paper report a manipulation check? Is it clear whether participants who failed the manipulation check included or excluded? Are results reported for both choices?,4,31,17,
33. Particularly for online experiments: were attention checks included?,20,29,,3
Does the paper report how many participants passed the attention check and what was done with the participants who did not pass?,17,24,2,9
34. Are the materials validated (e.g. in previous research or a pilot study)?,38,0,14,
,Outcomes,,,
35. To what extent is the outcome measure a valid measure of the construct in the theory and hypotheses?,49,0,3,
"36. For experiments on behavior: did participants make an actual behavioral choice, did they self-report them, or did they state behavioral intentions?",0,0,0,52
"37. Does the paper report analyses of multiple dependent variables? If so, how are the dependent variables interrelated? If the paper reports analyses of multiple dependent variables indifferent studies, why? Were these changes planned, and do they follow from the arguments in the hypotheses?",43,1,8,
,Analysis,,,
38. Does the paper present a table of descriptive statistics?,47,5,,
"39. Does the paper distinguish explicitly between ""hypothesis testing"" (i.e., ‘confirmatory’, prespecified) and ""exploratory"" (i.e., not prespecified) analyses?",41,11,0,
"40. Does the paper report how missing data and participant dropout was handled (e.g., replaced, omitted)?",22,30,,
41. If covariates are included in the analysis: does the paper report results without covariates?,11,6,,35
"42. If outliers were removed: does the paper report results without outliers? If only an analysis excluding outliers is reported, ask for an additional analysis including outliers.",1,2,,49
43. If the analysis includes scales: does the paper report the reliability or a factor analysis of each scale? Is the reliability sufficiently high?,29,0,0,23
44. In an analysis with moderator variables: is the main effect included? Are ordinal/linear variables in the interaction term centered?,49,0,,
"45. Does the paper report adequate statistical tests, given the measurement scales of the variables (nominal, ordinal, linear) and their distribution (normal, non-normal)?",52,0,0,
"46. Does the paper use appropriate statistical models, given the structure of the data (nesting, repeated measures) and are the statistical analyses reported correctly? Are the test-statistics accurate?",52,0,0,
47. Does the paper report robustness checks?,16,36,,
48. Does the paper interpret the effect sizes in a substantive manner?,46,6,,
,Interpretation ,,,
49. Does the paper discuss alternative explanations of theresults?,51,1,,
50. Does the paper discuss limitations of the research design?,51,1,0,
,Added Pre-Registered Questions,,,
Are the factors included within-subjects?,2,34,16,
Is the stimuli sample N large enough to model stimuli as a random factor?,1,51,0,
Is the participant sample N sufficient to power the analytical model used?,46,6,0,