"Article","Study","Ps","ES","DV","% Female","Age M","Age SD","blank_base","AI N","AI M","AI SD","blank","Human N","Human M","Human SD","blank_one","AI N=0","AI N=1","blank_two","Human N=0","Human N=1","article_group"
"Banks et al., (2021)","1",1,"1-4","G",51.24,46.57,17.19,NA,194,4.31,2.34,NA,208,4.09,2.5,NA,NA,NA,NA,NA,NA,0
"Banks et al., (2021)","2",2,"5-12","G",51.09,41.6,15.57,NA,58,0.34,2.44,NA,34,0.26,2.67,NA,NA,NA,NA,NA,NA,1
"Bigman et al., (2018)","3",3,"13-30","M",59.29,38.82,13.29,NA,108,4.17,2.19,NA,118,5.43,2.26,NA,NA,NA,NA,NA,NA,1
"Bigman et al., (2018)","4",4,"31-48","M",57.94,36.08,11.53,NA,119,2.5,1.85,NA,114,3.77,1.99,NA,NA,NA,NA,NA,NA,1
"Bigman et al., (2018)","5",5,"49-66","M",61.32,37.63,11.63,NA,224,3.49,2.16,NA,231,4.9,2.12,NA,NA,NA,NA,NA,NA,2
"Cassioli et al., (2023)","1",6,"67","N",64.7,24.6,3,NA,34,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,3
"Chu et al., (2023)","2",7,"68","P",65.73,29.88,7.12,NA,121,6.39,2.51,NA,127,6.57,2.38,NA,NA,NA,NA,NA,NA,3
"Chu et al., (2023)","2",8,"69","P",58.02,30.21,6.6,NA,218,5.7,2.7,NA,206,5.57,2.63,NA,NA,NA,NA,NA,NA,3
"Chu et al., (2023)","2",9,"70","P",52.59,30.81,7.88,NA,122,5,2.54,NA,110,3.71,2.47,NA,NA,NA,NA,NA,NA,3
"Chu et al., (2023)","2",7,"71","W",65.73,29.88,7.12,NA,121,6.52,2.23,NA,127,6.49,2.45,NA,NA,NA,NA,NA,NA,3
"Chu et al., (2023)","2",8,"72","W",58.02,30.21,6.6,NA,218,5.3,2.66,NA,206,5.54,2.67,NA,NA,NA,NA,NA,NA,3
"Chu et al., (2023)","2",9,"73","W",52.59,30.81,7.88,NA,122,4.8,2.51,NA,110,3.85,2.39,NA,NA,NA,NA,NA,NA,3
"Chu et al., (2023)","2",7,"74","A",65.73,29.88,7.12,NA,121,4.45,2.5,NA,127,4.39,2.7,NA,NA,NA,NA,NA,NA,3
"Chu et al., (2023)","2",8,"75","A",58.02,30.21,6.6,NA,218,4.2,2.56,NA,206,3.75,2.38,NA,NA,NA,NA,NA,NA,3
"Chu et al., (2023)","2",9,"76","A",52.59,30.81,7.88,NA,122,4.12,2.38,NA,110,3.43,2.14,NA,NA,NA,NA,NA,NA,4
"He et al., (2024)","1",10,"77","M",50,21,2.34,NA,40,1.76,0.64,NA,40,1.59,0.39,NA,NA,NA,NA,NA,NA,5
"Hristova et al., (2015)","1",13,"80","P",NA,NA,NA,NA,53,4.5,1.7,NA,53,3.7,1.6,NA,NA,NA,NA,NA,NA,5
"Hristova et al., (2015)","1",14,"81","P",NA,NA,NA,NA,53,4.5,1.9,NA,53,3.7,1.6,NA,NA,NA,NA,NA,NA,6
"Komatsu et al., (2017)","1",15,"82","W",22,21.5,0.75,NA,35,NA,NA,NA,35,NA,NA,NA,8,27,NA,6,29,6
"Komatsu et al., (2017)","1",16,"83","W",22,21.5,0.75,NA,34,NA,NA,NA,37,NA,NA,NA,9,25,NA,7,30,7
"Komatsu et al., (2021)","1",17,"84","P",32.46,45.02,10.54,NA,126,NA,NA,NA,142,NA,NA,NA,48,78,NA,68,74,7
"Komatsu et al., (2021)","2",18,"85","P",27.79,21.03,1.98,NA,194,NA,NA,NA,191,NA,NA,NA,91,103,NA,107,84,7
"Komatsu et al., (2021)","3",19,"86","P",47.95,35.68,12.44,NA,155,NA,NA,NA,94,NA,NA,NA,64,91,NA,37,57,8
"Laakasuo et al., (2021)","1",20,"87-88","M",51.06,38.46,16.25,NA,21,4.14,1.21,NA,26,4.13,1.11,NA,NA,NA,NA,NA,NA,8
"Laakasuo et al., (2021)","1",21,"89-90","M",52.5,40.73,14.28,NA,19,3.86,1.51,NA,21,4.68,1.54,NA,NA,NA,NA,NA,NA,8
"Laakasuo et al., (2021)","2",22,"91-92","M",36.73,34.63,10.14,NA,49,5.13,1.51,NA,50,5.22,1.39,NA,NA,NA,NA,NA,NA,8
"Laakasuo et al., (2021)","2",23,"93-94","M",45,34.31,10.81,NA,50,3.89,1.12,NA,52,3.95,1.62,NA,NA,NA,NA,NA,NA,9
"Laakasuo et al., (2023a)","1",24,"95-96","M",54.1,37.17,12.83,NA,182,3.23,1.21,NA,62,3.57,1.2,NA,NA,NA,NA,NA,NA,9
"Laakasuo et al., (2023a)","1",25,"97-98","M",61.75,36.41,12.92,NA,189,5.17,1.16,NA,62,5.11,1.32,NA,NA,NA,NA,NA,NA,10
"Laakasuo et al., (2023b)","2",26,"99","A",40.58,36.81,17.05,NA,32,3.81,2.01,NA,37,4.11,2.01,NA,NA,NA,NA,NA,NA,10
"Laakasuo et al., (2023b)","2",27,"100","A",42.42,37.41,18.38,NA,29,4.48,1.57,NA,37,4,1.8,NA,NA,NA,NA,NA,NA,10
"Laakasuo et al., (2023b)","2",26,"101","R",40.58,36.81,17.05,NA,32,3.75,2.02,NA,37,4.11,1.91,NA,NA,NA,NA,NA,NA,10
"Laakasuo et al., (2023b)","2",27,"102","R",42.42,37.41,18.38,NA,29,4.28,1.83,NA,37,4,1.8,NA,NA,NA,NA,NA,NA,10
"Laakasuo et al., (2023b)","3",28,"103","A",63.47,41.03,13.67,NA,233,4.01,1.62,NA,246,4.66,1.44,NA,NA,NA,NA,NA,NA,10
"Laakasuo et al., (2023b)","3",29,"104","A",65.14,42.66,13.53,NA,243,3.64,1.64,NA,259,3.55,1.61,NA,NA,NA,NA,NA,NA,10
"Laakasuo et al., (2023b)","3",28,"105","R",63.47,41.03,13.67,NA,233,3.46,1.48,NA,246,4.16,1.49,NA,NA,NA,NA,NA,NA,10
"Laakasuo et al., (2023b)","3",29,"106","R",65.14,42.66,13.53,NA,243,3.97,1.59,NA,259,4.03,1.64,NA,NA,NA,NA,NA,NA,10
"Laakasuo et al., (2023b)","4",30,"107","A",50.65,34.63,13.51,NA,35,3.2,1.95,NA,41,4.02,1.7,NA,NA,NA,NA,NA,NA,10
"Laakasuo et al., (2023b)","4",31,"108","A",61.4,30.56,12.83,NA,29,4.03,1.55,NA,28,2.21,1.1,NA,NA,NA,NA,NA,NA,10
"Laakasuo et al., (2023b)","4",32,"109","A",61.11,33.32,14.4,NA,30,4.03,1.77,NA,42,4.57,1.71,NA,NA,NA,NA,NA,NA,10
"Laakasuo et al., (2023b)","4",30,"110","R",50.65,34.63,13.51,NA,35,3.34,1.94,NA,41,3.9,1.67,NA,NA,NA,NA,NA,NA,10
"Laakasuo et al., (2023b)","4",31,"111","R",61.4,30.56,12.83,NA,29,3.41,1.5,NA,28,2.61,1.55,NA,NA,NA,NA,NA,NA,10
"Laakasuo et al., (2023b)","4",32,"112","R",61.11,33.32,14.4,NA,30,3.8,1.67,NA,42,4.14,1.76,NA,NA,NA,NA,NA,NA,10
"Laakasuo et al., (2023b)","5",33,"113","A",43.78,29.04,10.96,NA,126,4.17,1.71,NA,123,4.33,1.67,NA,NA,NA,NA,NA,NA,10
"Laakasuo et al., (2023b)","5",34,"114","A",48.21,29.61,10.31,NA,124,4.6,1.64,NA,127,4.09,1.77,NA,NA,NA,NA,NA,NA,10
"Laakasuo et al., (2023b)","5",33,"115","R",43.78,29.04,10.96,NA,126,3.47,1.62,NA,123,4.2,1.61,NA,NA,NA,NA,NA,NA,10
"Laakasuo et al., (2023b)","5",34,"116","R",48.21,29.61,10.31,NA,124,4.99,1.41,NA,127,4.53,1.63,NA,NA,NA,NA,NA,NA,11
"Malle et al., (2015)","1",35,"117","P",42.31,33.46,12.24,NA,39,NA,NA,NA,40,NA,NA,NA,11,28,NA,14,26,11
"Malle et al., (2015)","1",36,"118","P",43.59,34.87,10.79,NA,40,NA,NA,NA,38,NA,NA,NA,7,33,NA,13,25,11
"Malle et al., (2015)","2",37,"119","W",51.9,33.61,11.33,NA,40,NA,NA,NA,39,NA,NA,NA,5,35,NA,19,20,11
"Malle et al., (2015)","2",38,"120","W",61.25,35.3,11.63,NA,41,NA,NA,NA,40,NA,NA,NA,13,28,NA,6,34,12
"Malle et al., (2019)","1",40,"122","W",45.68,35.17,22.22,NA,270,NA,NA,NA,89,NA,NA,NA,70,200,NA,14,75,12
"Malle et al., (2019)","1",41,"123","W",48.75,33.39,10.92,NA,269,NA,NA,NA,90,NA,NA,NA,53,216,NA,23,67,13
"Malle et al., (2024)","2.1",42,"124","W",46,33.95,11.7,NA,51,NA,NA,NA,49,NA,NA,NA,17,34,NA,19,30,13
"Malle et al., (2024)","2.1",43,"125","W",49.48,34.66,12.95,NA,48,NA,NA,NA,49,NA,NA,NA,9,39,NA,7,42,13
"Malle et al., (2024)","2.2",44,"126","W",49.64,34.95,11.33,NA,68,NA,NA,NA,71,NA,NA,NA,21,47,NA,20,51,13
"Malle et al., (2024)","2.2",45,"127","W",51.25,34.29,12.1,NA,140,NA,NA,NA,139,NA,NA,NA,39,101,NA,29,110,13
"Malle et al., (2024)","2.2",46,"128","W",48.57,36.21,13.24,NA,71,NA,NA,NA,69,NA,NA,NA,9,62,NA,9,60,13
"Malle et al., (2024)","2.2",47,"129","W",46.72,32.53,10.79,NA,69,NA,NA,NA,68,NA,NA,NA,1,68,NA,4,64,13
"Malle et al., (2024)","2.3",48,"130","W",47.71,35.17,11.59,NA,80,NA,NA,NA,77,NA,NA,NA,17,63,NA,20,57,13
"Malle et al., (2024)","2.3",49,"131","W",48,33.15,11.45,NA,239,NA,NA,NA,239,NA,NA,NA,60,179,NA,47,192,13
"Malle et al., (2024)","2.3",50,"132","W",51.29,32.52,10.65,NA,160,NA,NA,NA,152,NA,NA,NA,33,127,NA,33,119,13
"Malle et al., (2024)","2.4",51,"133","W",52.17,33.52,11.77,NA,81,NA,NA,NA,80,NA,NA,NA,47,34,NA,48,32,13
"Malle et al., (2024)","2.4",52,"134","W",51.32,33.58,11.26,NA,188,NA,NA,NA,190,NA,NA,NA,33,155,NA,26,164,13
"Malle et al., (2024)","2.4",53,"135","W",53.49,33.45,11.21,NA,107,NA,NA,NA,108,NA,NA,NA,30,77,NA,33,75,13
"Malle et al., (2024)","4.1",54,"136","W",57.6,34.16,10.87,NA,453,NA,NA,NA,330,NA,NA,NA,94,359,NA,71,259,13
"Malle et al., (2024)","4.3",55,"137","W",45.22,34.41,10.89,NA,300,NA,NA,NA,213,NA,NA,NA,95,205,NA,65,148,14
"Maninger et al., (2022)","2",56,"138-141","W",41.5,35.8,NA,NA,91,3.59,1.22,NA,145,4.12,1.01,NA,NA,NA,NA,NA,NA,15
"Mayer et al., (2023)","1",57,"142","J",73.9,27,11,NA,173,3.18,0.65,NA,187,3.64,0.7,NA,NA,NA,NA,NA,NA,15
"Mayer et al., (2023)","2",58,"143","J",42,45,15,NA,507,2.98,0.86,NA,248,3.39,0.81,NA,NA,NA,NA,NA,NA,16
"Shank et al., (2019)","1",60,"145","J",NA,NA,NA,NA,58,2.16,1.04,NA,58,1.91,0.96,NA,NA,NA,NA,NA,NA,17
"Soares et al., (2023)","1",61,"146-147","A",67.95,38.17,13.58,NA,134,4.61,1.78,NA,136,4.4,1.87,NA,NA,NA,NA,NA,NA,17
"Soares et al., (2023)","1",62,"148-149","A",71.9,39.32,14.87,NA,130,4.66,1.79,NA,122,4.65,1.7,NA,NA,NA,NA,NA,NA,17
"Soares et al., (2023)","1",61,"150-151","R",67.95,38.17,13.58,NA,134,4.61,1.9,NA,137,4.88,1.7,NA,NA,NA,NA,NA,NA,17
"Soares et al., (2023)","1",62,"152-153","R",71.9,39.32,14.87,NA,130,4.86,1.63,NA,122,4.93,1.58,NA,NA,NA,NA,NA,NA,18
"Sundvall et al., (2023)","1",63,"154-156","A",73.2,26.96,7.89,NA,115,4.98,1.62,NA,101,5.43,1.5,NA,NA,NA,NA,NA,NA,18
"Sundvall et al., (2023)","2.1",64,"157-180","A",55.4,31.42,10.13,NA,59,4.54,1.62,NA,65,4.71,1.51,NA,NA,NA,NA,NA,NA,18
"Sundvall et al., (2023)","2.2",65,"181-204","A",59.4,31.58,10.95,NA,89,4.27,1.68,NA,93,5.08,1.35,NA,NA,NA,NA,NA,NA,18
"Sundvall et al., (2023)","2.3",66,"205-228","A",62.3,38.65,12.23,NA,152,4.07,2,NA,150,4.06,1.84,NA,NA,NA,NA,NA,NA,18
"Sundvall et al., (2023)","4.1",67,"229-264","A",52.7,41.22,13.12,NA,456,4.88,0.9,NA,456,5.1,0.96,NA,NA,NA,NA,NA,NA,18
"Sundvall et al., (2023)","4.2",68,"265-300","A",61.2,38.2,11.8,NA,403,5.09,0.95,NA,408,5.44,1.04,NA,NA,NA,NA,NA,NA,18
"Sundvall et al., (2023)","5",69,"301-336","A",54.5,41.54,13.88,NA,454,5.18,1.03,NA,461,5.45,1.05,NA,NA,NA,NA,NA,NA,19
"Wilson et al., (2022)","1",70,"337-339","W",NA,NA,NA,NA,51,2.4,1.44,NA,50,2.13,1.26,NA,NA,NA,NA,NA,NA,19
"Wilson et al., (2022)","2",71,"340","W",NA,NA,NA,NA,159,4.95,1.21,NA,154,4.85,0.99,NA,NA,NA,NA,NA,NA,20
"Young et al., (2019)","1",72,"341","P",60.4,33.05,11.61,NA,101,NA,NA,NA,101,NA,NA,NA,43,58,NA,28,73,20
"Young et al., (2019)","1",73,"342","P",56.72,34.19,12.08,NA,100,NA,NA,NA,102,NA,NA,NA,41,59,NA,32,70,20
"Young et al., (2019)","2",74,"343","P",56.11,36.18,11.64,NA,202,NA,NA,NA,101,NA,NA,NA,71,131,NA,27,74,20
"Young et al., (2019)","2",75,"344","P",52.33,35.76,11.95,NA,200,NA,NA,NA,100,NA,NA,NA,86,114,NA,36,64,20
"Young et al., (2019)","3",76,"345","P",52.67,36.71,12.15,NA,199,NA,NA,NA,99,NA,NA,NA,88,111,NA,38,61,20
"Young et al., (2019)","3",77,"346","P",53.14,36.86,13.04,NA,202,NA,NA,NA,101,NA,NA,NA,82,120,NA,38,63,21
"Zhang et al., (2022)","1",78,"347","N",NA,NA,NA,NA,312,NA,NA,NA,312,NA,NA,NA,NA,NA,NA,NA,NA,22
"Zhang et al., (2023)","1",79,"348-353","M",NA,NA,NA,NA,49,52.53,3.9,NA,49,60.88,3.97,NA,NA,NA,NA,NA,NA,22
"Zhang et al., (2023)","2",80,"354-359","M",NA,NA,NA,NA,48,39.09,4.32,NA,48,35.96,4.27,NA,NA,NA,NA,NA,NA,22
"Zhang et al., (2023)","3",81,"360-363,365-368","M",NA,NA,NA,NA,59,45.66,3.5,NA,59,48.74,3.42,NA,NA,NA,NA,NA,NA,23
